Review;Sentiment
Bahan tebal premium, ukuran besar, sungguh tas pandemi bgt ini tinggal semprot2 klo abis dari luar;Positive
Lucu banget, suka. Bahan tebal. Jahitan rapi 👍.;Positive
Muat banyak barang. Terlihat mewah ✨.;Positive
Nggak pasaran. Muat banyak barang. Modelnya cantik 😍. Jahitan rapi 👍.;Positive
Lucu banget, suka. Modelnya cantik 😍.;Positive
Lucu banget, suka. Modelnya cantik 😍. Terlihat mewah ✨. Bahan tebal. Jahitan rapi 👍.;Positive
suka banget. masya Allah, cantik. muat buat lenovo thinkpad t480s;Positive
Lucu banget, suka. Modelnya cantik 😍.;Positive
Lucu banget, suka. Modelnya cantik 😍.;Positive
Beli kedua kali tas ini, gak pernah gak memuaskan. Kali ini belikan temen karena kepincut tasku dikantor hehe;Positive
Lucu banget, suka. Modelnya cantik 😍. Terlihat mewah ✨. Ukuran besar. Muat banyak barang.;Positive
suka bangettttt;Positive
"Proses pengirimannya cepeeeett ✨👌🏻
Modelnya juga lucuk bangetttt dan ini ukurannya termasuk lumayan gede buat bawa berbagai macem perintilan cewe ☺️🌸🌼🌻
Love it.. Tha... ";Positive
Lucu banget, suka Bahan tebal Modelnya cantik 😍 Jahitan rapi 👍 Ukuran besar Muat banyak barang;Positive
Sempat salah kirim type tas.. tp langsung diprocess utk retur & tukar dgn tas yg sesuai.. model modis & kualitas material tebal, lumayan utk ganti2 tas laptop. Th... ;Positive
suka banget. cocok bgt buat tas daily. harga afordable bgtt. muat bgtt laptop 14 inc beserta case laptopnya yg cukup tebelLucu banget, suka. Modelnya cantik 😍. Bahan teb... ;Positive
Bagus tasnya. Gemes. Dan untuk macboock air 13” bisa masuk dan masih luas. Terimakasih, puas banget 🥰🥰;Positive
Lucu banget, suka;Positive
Lucu banget, suka. Jahitan rapi 👍. Bahan tebal. Terlihat mewah ✨. Modelnya cantik 😍. Muat banyak barang.;Positive
Modelnya cantik 😍. Terlihat mewah ✨. Muat banyak barang. Lucu banget, suka.;Positive
Lucu banget, suka.;Positive
Bahan tebal Jahitan rapi 👍;Positive
Lucu banget, suka Jahitan rapi 👍 Nggak pasaran;Positive
tasnya manis banget, ga nerawang, jahitan rapi, cm better kl di dalemnya ada kompartemen lg untuk barang kecil2 gt. overall suka banget lah..;Positive
Lucu banget, suka. Modelnya cantik 😍. Bahan tebal. Jahitan rapi 👍. Bahan lentur.;Positive
Jahitan rapi 👍. Terlihat mewah ✨. Lucu banget, suka.;Positive
Nggak pasaran.;Positive
Modelnya cantik 😍.;Positive
Kualitasnya bagus, modelnya lucu. So gemashhh! Muat banyak barang juga didalemnya. Thank you seller✨;Positive
Cuanntiikkk tasnyaaa….recomendeddd👌🏻👍👍👍👍👍👍;Positive
Modelnya cantik 😍. Jahitan rapi 👍. Muat banyak barang. Lucu banget, suka. pengiriman cepat dan memuaskan ...thanks seller 😘🤗😍;Positive
Jahitan rapi 👍;Positive
Modelnya cantik 😍. Terlihat mewah ✨. Jahitan rapi 👍.;Positive
Terlihat mewah ✨. Muat banyak barang.;Positive
Bahan tebal Jahitan rapi 👍;Positive
Pengiriman cepat, tas bagus bahan tebel, ada harga ada kualitas. Semoga awet;Positive
Modelnya cantik 😍. Bahan tebal.;Positive
Bahan tebal. Modelnya cantik 😍. Jahitan rapi 👍.;Positive
sudah langganan utk kasih kado tas Cleo ke sahabat..semua sukak.. terimakasih yJahitan rapi 👍. Bahan tebal. Modelnya cantik 😍. Nggak pasaran. Ukuran besar.;Positive
sebagus itu... tidak mengecewakan.. Modelnya cantik 😍.;Positive
Terlihat mewah ✨. Nggak pasaran.;Positive
recommended;Positive
benar2 sesuai dengan foto, cantik sekali dengan harga segitu. ukuran 38 ga terlalu besar juga, pas untung ngantor;Positive
Nggak pasaran.;Positive
Bagus sekali bahan tebal kokoh tali bagus tebal. Mantap;Positive
terlalu gemasss! cantik banget motif nya, thank youu SOVLO;Positive
Ok ga pernah kecewa;Positive
kali ini puas belanja di sovlo. pengirimannya cepat;Positive
jadi awal tau sovlo karna iklan nya muncul di FB, terus penasaran donk koq lucu banget seh, akhirnya buka tokonya dan liat2, pas pertama liat udah langsung jatuh hati don... ;Positive
Reccomended Seller. Renc 1 minggu 5 hr sampai. Mantap.;Positive
"Jahitan rapih n barang berkwalitas
Makasiiii";Positive
baguss bgt, bahannya bagus, pas lagi tasnya buat diisi mukena, tisu basah, dll, kan skrng kalau kmn2 harus segala dibawa. Pas dipakai juga tasnya gk keliatan besar atau k... ;Positive
terimakasih kak...fast respon n good quality;Positive
Memuaskan, tasnya bagus bingits buat kerja juga ok;Positive
Lucu banget, suka. Jahitan rapi 👍. Proses pesanan cepat.;Positive
beli untuk kado bu guru 👍;Positive
Lucu banget, suka.;Positive
penjual fast response, pengiriman cepat. tas nya keren banget, gak nyesel deh beli tas nya;Positive
Bahan tebal. Jahitan rapi 👍. Ukuran besar. Muat banyak barang. Packaging aman 🙏.;Positive
"Tiba cepat dan suka modelnya.
Makasih";Positive
Cantiiik… sukaa banget! 😍😍 makasii seller…. 👍;Positive
tasnya keren abis.. walau pengirimannya lama bingitz.. 🙃;Positive
bagus;Positive
Cepat sekali sampainya, padahal PO nya 5 hari tapi ini sehari sudah sampai, tasnya juga bagus sama seperti foto displaynya, terima kasih yaa SOLVO, ditunggu orderan saya... ;Positive
bagus banget tas nya.. 😍 terima kasih;Positive
bagussssss;Positive
"bagus banget 😭

terimakasih seller ";Positive
suka bangeet ❤️❤️❤️;Positive
"suka bangetttt....
ngepas utk laptop Ac3r  swift 3 14'.
";Positive
ternyata gak sebesar yg kubayangkan tapi ukurannya pas dengan yang i desired! puas bgt bangga produk lokal bisa sebagus ini❤️;Positive
Pengiriman relatif cepat, packaging rapih & kualitas barang ok;Positive
dus nya penyok padahal uda jls itu buat hadiah, krna seller nya pelit, harus nya dikasih buble wrap, kapok deh bikin malu;Positive
Sempet ada yg kurang trs lgs sigap dikirim kekurangannya dong! Puas banget🥰;Positive
Suka tasnya,. pengiriman cepat. Terimakasih;Positive
Makasih;Positive
produk bagus, packing rapih & pengiriman cepat, terima kasih;Positive
Sudah kesekian kali beli produknya Sovlo, harga pas, puas, murmer, cocok untuk hadiah;Positive
Bagus, packing rapih, sesuai gambar, puas, trmksh;Positive
Bagus sekali! ;Positive
muat leptop krj dan kokoh..😍;Positive
Bagus banget, bahannya tebel, laptop 13inch muat🥳;Positive
"tasnya cantik, bagus. packaging exclusive sekali, kl untuk dijadiin gift bisa banget!  
and the most important sellernya ramah & fast response 
thanks ya";Positive
"Bahan pvc-nya tebal & tdk tajam trus jahitannya rapih. 
Ini sdh pesan cleo bag utk yg ketiga kalinya ... 2 yg cleo dan 1 yg mini cleo utk kaka & mama sy 😍😘";Positive
Ngga sengaja nemu di tokopedia... ngga pernah suka tas PVC yg see through tp liat Sovlo yakin bgt ini tasnya bagus. Dan ternyata yes! Bahannya tebel tp nggak kaku, jahita... ;Positive
keren bgt 👍👍👍;Positive
bagus tasnya. tapi hati2 di jahitan resleting nya jangan dipaksakan buat nutup. Punyaku sudah terbuka sedikit jahitannya :)) ;Positive
bagus, bahan ;Positive
Kualitas barang bagus sekali, terus kuat dan isi banyak juga. Isi laptop, ipad, botol minum bisa. Thanks Sovlo!;Positive
"Sesuai harapan, jahitan rapi, bahan tebal, semoga awet.
Thank u sovlo, thank u tokopedia, thank u pak kurir.";Positive
lebih cepat 😘;Positive
jahitan rapi, pengiriman cepat, model bagus dan kualitas bahan bagus. hanya mungkin lebih baik kalau model ini ada yang lebih besar. ;Positive
"proses krmn cepat. trus mutu nya bagus, bukan bahan abal2. overall ini puas n layak. harga juga terjangkau dr pd merk sbelah muahallll.

cintailah produk indonesia";Positive
kali ke 3 beli disini;Positive
Cantik tas nya , bahan PVC nya tebel dan PO nya ceepr ga sampe 5 hari, Bangga Buatan Indonesia ;Positive
sudah sampai lebih cepat dari estimasi, barangnya baguuus, untuk tas pvc ini bahannya tebel banget, baguus, dan tasnya segede itu, laptop ukuran 14 inch bahkan muat bange... ;Positive
bagus, bgt sampai lsng dipakai. makasih ya;Positive
Sempat ragu- ragu mau beli/ tidak karena tertulis PO 5 hari, tapi di niatkan and ternyata tidak ikutan PO, jadi cuma 2 atau 3 hari sudah saya terima. Tasnya cantik, jahit... ;Positive
bagus tas nya, sesuai harapan.;Positive
gw mau curhat di ulasan ini, gw udah lama incer ini tas inc innernya jg, sampe bolbal chat ke admin krn mmg gw lg nyari tas laptop tp yg jg bisa dipake buat hangout n har... ;Positive
lereeen ;Positive
cepat sekali dr perkiraan preordernya....bahan pvc nya bagus...;Positive
"Udah bbrp kali pesen di sini & pasti selalu puas belanja di sinii.

Ga nyangka 2 hr lgsg sampe barangnyaaa.

Makasii Sovlo ❤️";Positive
syedih udah gak ada free nya sayang sll di waktu kl ngasih freeb padahal beli banyak;Positive
cakeppppp bangetttttt .... ;Positive
sesuai pesanan dan gbr..bahan plastik tebal;Positive
Model bagus, bahan bagus, desain bagus, jahitan rapi, stri;Positive
laptop masuk dengan nyaman 😁;Positive
kualitas barangnya bagus, rapih, dan nyaman digunakan. pengemasannya juga oke cukup premium. tas ini dipakai oleh ibu saya dan beliau senang. overall puas, terima kasih.;Positive
Baguuuus... bahan tebal, packing aman, pengiriman cepet banget;Positive
Selalu bagus kualitasnya. Ini tas kedua saya dari Sovlo setelah totebag dognya. Bagusss sukses ya. Padahal saya ada ganti order ukuran tas dan dilayani dengan baik banget... ;Positive
katanya Pre Order tp 2 hr setelah bayar barangnya udh sampe... yaampun makasi bgt ya. mana bagus bgt lg lg kwalitasnya  muat banyak! packagingnya pun ok punya... jempol 5... ;Positive
Keceee berat harga murmer.. packaging bagus bgt;Positive
Fast respons, rapi dan pengiriman sesuai deskripsi. Barang ada sedikit lecet tapi g material.;Positive
barang bagus, mudah dibersihkan pake air dan mudah kering. dipake pun keren banget. ;Positive
suka bgt sm tas nya lucu dan simple sesuai harga dan anti air 🥳🥳🥳;Positive
"cantik bgt trnyata,, ga tahan buat ngga foto2.
bener2 estetis 😍
dan ngga nyampe 10 hari, cepet banget.. 
superrbbb 👍👍👍";Positive
Pengiriman PO sesuai jadwal, barangnya bagus dan harganya affordable, cuma sempet terhambat di kurir sicepat yg salah kirim alamat jadi barang baru sampai h+3 dari yg seh... ;Positive
Bagus kualitasnya, suka bangeett;Positive
keren, barang sesuai gambar, rapi jahitannya, packing rapi ... bagus beut pokoknya ;Positive
suka banget ,nunggu2 banget. tp sayang tali yg panjangnya ada cacat hikss..  ;Positive
setelah penantian panjang!! baguss banget,high quality... setiap pagi dan malam sempetin cek status pengiriman nya di tokopedia... tp ternyata pengiriman lebih cepat dari... ;Positive
Thank you, tasnya bagus sekali... 😍😍😍😍;Positive
Pengiriman cepat. Barangnya sesuai di picture 👍👍;Positive
Tasnya bagus banget...... muat banyak lagi......;Positive
aku suka banget sama tasnya dan harganya yang ramah di kantong tapi sayang baru hari pertama pake strap panjangnya copot sebelah patah gitu huhu padahal baru dipake sekal... ;Positive
tasnya cantik... walaupun nunggu nya agak lama, trimaksh...;Positive
bahan tebal, jahitan rapi dan mantap, packaging nya wow 😍👏🏼;Positive
mantap;Positive
ternyata lebih cepat dr batas waktu PO, produknya bagus pake banget, tebal, ga kasar, muat banyak, pokonya keliatan elegan banget dah ah. terima kasih seller!;Positive
Produk bagus, seller responsif dan komunikatif;Positive
Cakep bangeeettt tasnya!! Suka sekali.. ga sia2 nungguin PO 10 hari  😍;Positive
Pas dateng pertama tasnya cacat dan bolong sampingnya. Padahal udah tulisan QC. Seller menggantu dg yg baru ya tp jadi lama and agak rempong. Pas dateng baru udah ok sih.... ;Positive
"bagus banget tasnya... sesuai dengan ekspektasi... good packed, high quality 👍😁, harga juga sesuai.. superrr loveee itt!!!!
thank you Sovlo!!!";Positive
Barang bagus, muat banyak, puas;Positive
laptop 14 inchi muat guyssss, bahan tebal, talinya juga kuat;Positive
Produk kedua dari Sovlo tetep ga mengecewakan beliin buat ibuku suka bangeettt🥰;Positive
"Barangnya bagus. Sesuai gambar. 
";Positive
Tasnya bagus, kuat, dan muat banyak bangettt! Terima Kasih yaa;Positive
terus berkarya sovlo....;Positive
Baru 2-3 hari udah langsung sampe, bahan tasnya juga tebel, suka. Tp sayang strap yg nempelnya kurang panjang ya, maksudnya biar bisa lgsg digemblok di bahu tanpa tali pa... ;Positive
Baguuussss.. lucuu dan harganya bersahabat bgt.. ;Positive
Pre-order yg katanya 10 hari ternyataaaa sampainya jauh sebelum itu hehe.. ga nyadar tiba2 ada aja paketnya dah sampe. Dan ga pernah expect too much utk local brand ya, t... ;Positive
"Definisi paket yg beneran ditungguin karena PO, dan ternyata bagus banget!! masih muat buat laptop 14"" meskipun agak ngepas. so happy";Positive
tasnya bagus bangetttt;Positive
"barang sesuai gambar & kualitas jahitan bagus seller komunikatif
👍👍";Positive
"Pengiriman cepat 
Tasnya jg bagus banget";Positive
Kemarin salah Check out, maunya coklat yg tercheck out hitam. Tp seneng banget bisa diganti yg coklat sama seller. Puass sekalii. Bahannya tebal premium. handle bagus. be... ;Positive
bagus ini sdh beberpa kali beli tetapi model berbeda,packing rapi puas deh;Positive
"bagus bangett! dari mulai bahan sampai desainnya bagus bagus.. tasnya cocok buat dipake kerja karna muat laptop 14"" dan masih muat barang lainnya. sukses selalu sovlo... ";Positive
tasnya bagus...;Positive
"Barang bagus, pengiriman cepat
Kirain PO seminggu, ternyata kurang dari 7 hari udah sampe barangnya, bagus";Positive
"Barangnya bagus bangettttt
Worthed nunggu hampir 2minggu ";Positive
Dengan harga segitu. Duh cantik bangeeett aku rekomen buat semuanya untuk beli ini;Positive
baguus banget ga nyesel,,penantian 1 minggu PO terbayarkan dgn tas nan cantiik ini , local brand pula,,terluuuvv🥰;Positive
barang bagus istimewa mewah bahan tebal kemasan rapi sayang jahitan diujung rit agak kurang rapi ;Positive
Barang kualitad bagus dan memuaskan. Hanya saja PO yg awalnya 7 hari diubah menjadi 10 hari, jadi barang lama datangnyaaa;Positive
brgnya oke tp pengirimannya luamaaaaa banget, blgnya po 7 hari, tp ternyata lebih dari 10 hari 🙄;Positive
anjriiit parah banget!!! jangan belanja di sovlo, hati2 bisa bikin ketagihan pengin bli.bli terus produknya paraaah kereeen !!!!!!!;Positive
"Setelah 10 hari menunggu 
akhirnya dtg juga ☺️ but it's worth to wait bahan nya tebal, jahitan nya rapi ";Positive
saya orangnya lumayan memilih tas. harus kokoh, mudah dibersihkan, ada tali panjang, bisa di tote, simple namun tetap memiliki daya tarik. Awalnya mau membeli tas bermerk... ;Positive
akhirnya nyampe juga nih tas, lucu banget tas nya sukaaaa. terimakasih untuk racunannya :));Positive
Kualitas mantabbb, bahannya tebel, tampilan sesuai gambar, ukurannya pas banget sm kebutuhanku, dan sepertinya ini kokoh. Semoga awet yaa bawa brg2ku yg bwanyak itu tiap... ;Positive
cakep banget, besar dan sangat berfungsi...senang sekali huhu....;Positive
jahitannya bagus,tas nya bagus banget...gak sia tunggunya tasnya keren;Positive
Baguuusss...!!!! Bahannya tebel, jaitannya juga rapih! Penantian yang cukup lama but feel really really satisfied with the results! Thank you! 💕🌻;Positive
build qualitynya bagus banget, produk rapi dan bisa muat banyak. penjual juga helpful dan fast response. worth to buy;Positive
Meskipun nunggu POnya lmaa bgttt, tp hsilnya memuaskaan..mungkin karna membludak pas hr terakhir free pouch jd lmaa;Positive
Mgkn lebih baik PO ny ditulis lbh dr 7 hr. ;Positive
"Kualitas produk sangat baik,produk original,harga produk sangat baik,kecwpatan pengiriman sangat baik,respon penjual sangat baik..
Makasih kak,suksess untuk olshop nya..... ";Positive
Semuanya sudah sampai. Terima kasih. Suka bangetttt ♥️;Positive
Barangnya bagusss bgt. Tp PO nya ngarettt. Aku psen dr 30 Oktober, po 7 hari katanya. Tp baru sampe tgl 14 November :( untung nya gak jd buat kado krna takut lewat dr tgl... ;Positive
memuassskaaann bgsss bggtt;Positive
Akhirnya yg ditunggu2 datang jg setelah 15 hari... Sempet udah mepet banget pesanan akan dibatalkan, tapi untungnya tidak.. Mungkin kedepannya perlu tambahan pasukan buat... ;Positive
sukaaaaa bangettttt... dapat pouch nya lagi. kualitas kereeeeen... love love love ;Positive
baguuus bgt.. yg ditunggu2 datang juga.. my very first PVC bag, ga nyangka ternyata sebagus ini.. apalagi seri kembang nusantara ini aku suka bgt. kualitasnya baguuus ga... ;Positive
"sukaa banget tasnyaa...muat banyak 
modelnya bagus jd semangat kerja deh bw si cleo kembang nusantara ini 😍😚";Positive
Barang bagus, tapi proses lama krn PO 7 hari ditambah libur bersama;Positive
"kualitas sgt bagus (bahannya bagus, jahitan rapih, bentuknya bagus); price reasonable. Dikasih bonus lagi. thank you.";Positive
Happy banget tas n pernik2nya baguuuss bngt 😍 Pengemasannya juga cantik , recommen bangt buat kado 🤩.  Pengiriman super cepat n aman. Puas bngt.. very recommended selle... ;Positive
terlope😍;Positive
Kereenn;Positive
overall bagus sih, tapi untuk nodanya bisa dibersihkan pake apa ya?;Positive
Desain yang simple tapi eye catching banget;Positive
Telat seminggu sih, tapi barangnya bagus gimana lagi;Positive
MasyaAllah.. suka sama tasnya.. model besar.. barang2 masuk semua.. dn cantik modelnya.. packingny mantab.. cuma agak lama karena sistem po.. pokony sukaaaa.. ;Positive
sukaaaaaaa ❤️❤️❤️❤️❤️;Positive
bahan nya tebal, kokoh, cantik bunga2 nya ❤️;Positive
"yg ini lebih baguss tas nya.. 
walau pengirimannya lama sekali, selain terhambat libur.. baru sampe tgl 6 okt, beli dr tgl 22 sept.. ";Positive
This bag is literally the ‘Heather’ for any other bags.  Cantik bgttttt. Ini udh second purchase aku di sovlo dan selalu suka. And the bag pouch FITS PERFECTLY, so though... ;Positive
keren bgt beyond my expectation ;Positive
"Terima kasih banyak sovlo! Keren bgttt ❤️❤️
Packaging nya niat, rapi, udah kayak beli laptop aja
Nunggu seminggu worth it deh
Makasih ya";Positive
"tas dan pouch nya bagus, sesuai ekspektasi.
tapi mungkin kedepannya proses pengerjaannya bisa dipercepat min hehe PO nya lama, saya pesen tgl 21, baru nyampe disaya tangg... ";Positive
Tasnya bagus. Cuma lamaaa hehe;Positive
Baru x ini suka sama local product dan beli beberapa item tasnya. Bagus sekaliiiiii.. Kualitas dan detailnya menunjukkan produk ini gag main2. sukses selalu Sovlo. saya b... ;Positive
packaging rapi, pvc tebal dan bagus. recommended pvc bag;Positive
Bisa dijadikan tas laptop, designya bagus 👌;Positive
keren bgt produknya;Positive
Mantabs...qulaitas berjaga 👍;Positive
bagus banget tas nyaaa...ga sia2 nunggu lama..puas banget;Positive
barang bagus. suka.;Positive
cakeeeuupp bangets pokoknya...udah pembelian yang kesekian kali..recommended Sovlo dah 👍👍👍;Positive
Lama banget proses PO-nya. Aku pesen tgl 15 okt, sampe rumah tgl 28 okt. Melebihi estimasi 7 hari proses PO.  Tapi untungnya barang yang dateng cakep banget. Nggak ada ca... ;Positive
engga sia2 nunggu lama ternyata pas dtg bener2 bagussss banget.. jahitan dan semuanya rapih..ukurannya juga pas buat aku..pokoknya buat semuanya ok 👌;Positive
Packing rapi dan aman, tasnya lucu. Thx;Positive
Ukurannya cukup besar. Bisa muat laptop 14 inch, buku, tumbler dsb. Kualitas sangat baik. Terima kasih yaa;Positive
bagus bangeeeetttt tas nya 😍😍😍;Positive
ini orderanKu yg ke 4... selalu puas dgn produk2 Sovlo.. mutu nya bagus, design keren... penjual jg ramah.. ga sabar nunggu produk2 selanjutnya... Terima Kasih SOVLO;Positive
WOWWW BAGUSSS!! Aseli ini tas kereeenn, bahan PVC nya tebal dan ga bikin baju ketarik2 benangnya krn ujung2 ga lancip. Harganya?? WOW WORTH EVERY PENNY!! Salut sm local p... ;Positive
sukaaa banget tasnyaa.. thank you sovlo;Positive
Cakeeep banget!! Semoga aweet, dan ga khawatir karena ada garansi nya. Thx so much sovlo. Keep Affordable yees!!! ;Positive
Pengirimannya cepet. Tas good quality, sukak. ;Positive
kurir anter aja kurang oke, packing dus + bubblewrap aja bisa somplak begitu, better service gratis ongkirnya ganti sicepat aja. utk tasnya, bagus banget, bahannya tebell... ;Positive
BAGUS BANGET TASNYA😭;Positive
Selalu suka sama produk2nya sovlo!;Positive
tas yg manis udah di ajak jalan ke kolam dan sangat aman kena air, love sovlo moga makin jaya  😘;Positive
Aku unboxingnya online karena salah alamat, aku kirim ke alamat temen akuuu!! Tapi bagus banget kok walaupun blm pegang bahannyaaa. Maju terus produk lokal🥰;Positive
pouch nya yang free, tidak simetris resletingnya. smoga QC nya ditingkatkan yah ;Positive
selalu puas belanja di sovlo, harganya bersahabat, barangnya oke punya😘;Positive
Tidak mengecewakan. Ini orderan ke2 ☺️;Positive
one word, cantik 🥰;Positive
puas bgttt real pic bgt. dah ga sabarr semenjak status pesanan dikirim dan ternyataaa sampenya cepett bangett... tas nya bagus dan ternyata ga bgitu besar. aslii lcu bgtt... ;Positive
Packagingnya bagus dan produknya juga bagus. Ku suka😍;Positive
barang sesuai pesanan, keren banget;Positive
Selalu happy klo koleksi Sovlo dtg :);Positive
Akhirnya tas cantik ini nyampe di rumah,nunggu 7 hari berasa lama banget gara2 yg satu ini.Berawal dari promosi di igs, jadi scroll ignya sovlo dan nemu barang2 yg lucu2,... ;Positive
mo belajar make tas emak2 ahh secara selama ini make tas backpack trs kemana2 padahal ya beneran udah emak2 ;Positive
bahan bagus, tas bagus, penjual ramah ;Positive
ini keduakalinya shopping..ga mengecewakan..thank ya;Positive
gemes bgt! tapi ternyata gede ya ukuranyaaaaaa hehehehhe tapi bagussss bahanyaaa 🥰🥰🥰;Positive
Thanks, brgnya bagus. Jahitan rapi. ;Positive
"tasnya bagus banget..
dalam paket smpet ketinggalan Tali panjang untuk tas 1 lg. setelah info ke Sovlo, langsung dikirimkan. terimakasih Sovlo ";Positive
pertama tau SOVLO dr iklan2 di igs dan langsung tertarik sm transparant black iniiiii ((jujur uda dr lama cari tas transparant black yg lucuu)) dan nemu ini😭🌹;Positive
packing rapi dan aman. bahan oke, jahitan rapi, dan sesuai instruksi juga. tapi mungkin boleh kalo misal udh dijanjiin tgl sekitar a/b dikirim ditgl itu karna kita sebaga... ;Positive
baguuuuussss bgt, real pic, udh pembelian yang kesekian, dan puas, recommend, dan  next pengen beli yg model lain 🥰;Positive
Bagusss banget...walaupun harus PO dulu tapi bagus banget sih..;Positive
Penantian panjang yang tidak sia2. Selalu sabar menanti ♥️ ;Positive
Penantian PO terpuaskan. tas-nya lega dan kuat. thanks sovlo;Positive
Keren banget!! Pvcnya tebal tapi tidak kaku, tasnya pakai zipper, warnanya hitam transparan, dan ukurannya besar (bisa muat banyak). Gampang dibersihkan, cocok untuk pand... ;Positive
Sukaaak dan gemessssss love this to the max;Positive
kecceeeehhhh bgt tasnya 😍❤️❤️❤️❤️;Positive
Baguuusss bgtt. Packagingnya juga ngga main2;Positive
Suka;Positive
Terbayarkan sudah penantian PO nya.. pvc nya lumayan tebal dan kokoh emqmg sebagus ituuu si kembang nusantara.. thanks kaakk sukses teruss;Positive
